product_id,product_name,brands,energy,saturated_fats,sugars,eco_score_num,nutri_score_num,nova_score_num,product_additive_count
9459,Chocolate Hazelnut Whip Flavour Vitamin & Protein Bar - fulfil,Fulfil,381.00,9.00,3.50,,4.00,4.00,5.00
9460,Totopos sal - Mexifoods,Mexifoods,476.00,2.10,0.90,2.00,4.00,3.00,
9461,Chocolate caremelo,Château,486.00,15.00,47.00,4.00,5.00,4.00,1.00
9462,Semi Curado en lonchas - caminos del tormes,caminos del tormes,405.00,25.00,1.60,4.00,4.00,3.00,
9463,Sweetened multi grain cereal with marshmallows,Kellogg's,379.00,1.70,44.83,4.00,4.00,4.00,5.00
9464,Nata para montar uht 35% m.g.,Pascual,338.00,24.00,3.00,3.00,4.00,4.00,2.00
9465,Yogur sin lactosa,Kaiku,86.00,2.50,9.80,,3.00,4.00,1.00
9466,Triskys,Risi,530.00,2.50,0.50,,4.00,4.00,5.00
9467,Infusión Frutas del Bosque - Westminster,Westminster,2.00,0.00,0.50,5.00,2.00,4.00,
9468,Selección gourmet picos de pan de elaboración - Bertin Osborne,Bertin Osborne,378.00,0.43,2.40,2.00,3.00,4.00,
9469,Gelatina sabor fresa - Eroski,Eroski,75.00,0.00,18.30,,3.00,4.00,5.00
9470,Guliciosas - Eroski,Eroski,127.00,0.80,1.50,5.00,3.00,4.00,
9471,Sensacol fresa,Milbona,41.00,0.20,4.10,5.00,1.00,4.00,3.00
9472,Pan Hot Dog - Eroski,Eroski,270.00,0.90,4.40,2.00,4.00,4.00,7.00
9473,Galletas digestive de avena con alto contenido en fibra - El Corte Inglés,El Corte Inglés,483.00,10.00,22.00,3.00,4.00,4.00,2.00
9474,Digestive avena - Alimerka,Alimerka,477.00,2.30,18.00,3.00,3.00,4.00,4.00
9475,Croquetas cassolanes de pollastre - Bo de Debo,Bo de Debo,272.00,7.20,1.00,4.00,4.00,4.00,4.00
9476,Colin clásico,Carrefour,389.00,0.50,1.80,2.00,3.00,3.00,
9477,Medallones de verduras,Vegetalex,96.00,0.00,2.67,2.00,1.00,3.00,
9478,Barritas Krissia 0 por ciento Ultracongeladas,Krissia,66.00,0.00,2.90,5.00,2.00,4.00,3.00
9479,Nueces peladas bio auchan,Auchan,679.00,5.30,0.90,4.00,1.00,1.00,
9480,Tostadas Horneadas - Sanissimo,Sanissimo,370.00,0.80,0.00,,1.00,3.00,1.00
9481,Pan de Molde Trigo Espelta - Biocop,Biocop,283.00,0.50,2.60,2.00,2.00,3.00,
9482,Leche condensada - Consum,Consum,322.00,5.70,55.00,2.00,5.00,3.00,
9483,Mango Deshidratado - Prunita,Prunita,296.00,0.30,63.00,,3.00,3.00,1.00
