,Product Name,Brands,NOVA 4,Nutri-Score,Countries,Additives,Eco-Score,Energía,Grasas saturadas,Azúcares
679,Sandwich sabor yogurt - Gullón - 220 g,Gullón,Alimentos ultraprocesados,B,"Francia, Hungría, Portugal, España","E270 - Ácido láctico, E322 - Lecitinas, E322i - Lecitina, E500 - Carbonatos de sodio, E500ii - Bicarbonato de sodio, E503 - Carbonatos de amonio, E503ii - Bicarbonato de amonio, E965 - Maltitol",Eco-Score D,1757 kj(420 kcal),"2,2 g","3,8 g"
680,Queso fresco light - Hacendado,Hacendado,Alimentos ultraprocesados,B,España,E509 - Cloruro de calcio,Eco-Score D,490 kj(117 kcal),"3,9 g","3,6 g"
681,Crémeux saveur original - Violife - 180 g,Violife,Alimentos ultraprocesados,D,"Bélgica, Francia, Alemania, España",E575 - Glucono-delta-lactona,El Eco-Score no pudo ser calculado,987 kj(239 kcal),21 g,0 g
682,Neo Pillows - Crownfield - 500 g,Crownfield,Alimentos ultraprocesados,D,"Francia, Portugal, España, en:alemania, en:francia","E170 - Carbonatos de calcio, E170i - Carbonato de calcio, E307 - Alfa-tocoferol, E322 - Lecitinas, E501 - Carbonatos de potasio, E524 - Hidróxido sódico",Eco-Score C,1870 kj(447 kcal),"3,4 g","29,9 g"
683,"Thon Albacore MSC à l'huile d'olive - Nixe - 16,0 g",Nixe,Nivel de procesamiento de alimentos desconocido,D,"Francia, España","u, n, k, n, o, w, n",El Eco-Score no pudo ser calculado,1665 kj(398 kcal),"5,4 g","0,5 g"
684,Crousti pom - Vico - 50 g,Vico,Alimentos ultraprocesados,C,"Francia, España","E223 - Metabisulfito sódico, E330 - Ácido cítrico",Eco-Score C,1488 kj(352 kcal),"1,2 g",75 g
685,Biscotes - Carrefour Bio - 300 g,"Carrefour Bio, Carrefour",Alimentos ultraprocesados,B,"Francia, España",E300 - Ácido ascórbico,Eco-Score B,1674 kj(396 kcal),"0,6 g",5 g
686,SOJA Para cocinar líquida - Carrefour Bio - 25 cl,"Carrefour Bio, Carrefour",Alimentos ultraprocesados,C,"Francia, España","E322 - Lecitinas, E322i - Lecitina, E415 - Goma xantana",Eco-Score B,732 kj(177 kcal),"2,3 g","2,1 g"
687,Digestive - McVitie's - 400g,McVitie's,Alimentos ultraprocesados,E,"Francia, Singapur, España, Reino Unido","E296 - Ácido málico, E500 - Carbonatos de sodio, E500i - Carbonato sódico, E503 - Carbonatos de amonio, E503ii - Bicarbonato de amonio",Eco-Score C,2025 kj(450 kcal),"10,1 g","15,1 g"
688,Dark Chocolate - Special K - 375 g,"Special K, Kellogg's",Alimentos ultraprocesados,C,"Italia, Portugal, España","E322 - Lecitinas, E322i - Lecitina",Eco-Score D,1666 kj(394 kcal),3 g,20 g
689,Ferrero rocher - 300 g,Ferrero,Alimentos ultraprocesados,E,"Bulgaria, Francia, España, Reino Unido","E322 - Lecitinas, E322i - Lecitina, E500 - Carbonatos de sodio, E500ii - Bicarbonato de sodio",El Eco-Score no pudo ser calculado,2506 kj(603 kcal),"14,1 g","39,9 g"
690,Galletas Diet Fibra sin azucares - Gullón - 450 g,Gullón,Alimentos ultraprocesados,A,"Francia, España","E500 - Carbonatos de sodio, E500ii - Bicarbonato de sodio, E503 - Carbonatos de amonio, E503ii - Bicarbonato de amonio, E965 - Maltitol",Eco-Score C,1623 kj(388 kcal),1 g,"1,4 g"
691,Allioli - Chovi - 180 ml,Chovi,Alimentos procesados,E,"Francia, Países Bajos, España, Reino Unido",E202 - Sorbato potásico,Eco-Score D,3121 kj(746 kcal),10 g,0 g
